iter	RMSE
236	0.09496972079
237	0.09484505843
238	0.09482883328
239	0.09472317531
240	0.09456046285
241	0.09447441418
242	0.09426298554
243	0.09422491083
244	0.09407109404
245	0.09393279547
246	0.09389029377
247	0.09382110927
248	0.09379994325
249	0.09372636279
250	0.09371246787
251	0.09345663565
252	0.09330839159
253	0.093183545
254	0.09308337977
255	0.09301822484
256	0.09294773145
257	0.09291524921
258	0.0928054797
259	0.09265770765
260	0.09262645499
261	0.09261211876
262	0.09259270423
263	0.09238515667
264	0.09220124365
265	0.0920453638
266	0.09201755352
267	0.09193018448
268	0.09173468393
269	0.09152169101
270	0.09150782436
271	0.09143598072
272	0.09141090099
273	0.0912421097
274	0.09110185379
275	0.09093439256
276	0.09091324219
277	0.09074650736
278	0.09071325464
279	0.09067271609
280	0.09061418281
281	0.09057546938
282	0.09055673448
283	0.09045920709
284	0.09031581301
285	0.09022659165
286	0.0901836405
287	0.09013217732
288	0.09003511446
289	0.08990601674
290	0.08966517817
291	0.08964977744
292	0.08953936639
293	0.08940959587
294	0.08912713998
295	0.08903034136
296	0.08897520658
297	0.08881969228
298	0.08866134541
299	0.08860926261
300	0.08847447571
301	0.08845974651
302	0.08841872235
303	0.08823596992
304	0.08800815211
305	0.08787178029
306	0.08785323619
307	0.08781398472
308	0.08771578464
309	0.08761557948
310	0.08739751288
311	0.08733950663
312	0.08732869616
313	0.08726335702
314	0.0871668171
315	0.08707670222
316	0.08700337451
317	0.08695836399
318	0.08691915793
319	0.08685014027
320	0.08678908785
321	0.08671000757
322	0.08669971501
323	0.08668072133
324	0.08662004732
325	0.08660995713
326	0.08646437765
327	0.08635420416
328	0.08629050498
329	0.08620291932
330	0.08612211816
331	0.08606235737
332	0.08602403253
333	0.08595011601
334	0.08584192671
335	0.08582282401
336	0.08568290991
337	0.08546965719
338	0.08545755771
339	0.08544278687
340	0.0853588724
341	0.08530566196
342	0.08528716825
343	0.08527622277
344	0.08526046357
345	0.08523663183
346	0.08516743888
347	0.08507132243
348	0.08492345188
349	0.08491483334
350	0.08487836416
351	0.08485077046
352	0.084840966
353	0.08483291547
354	0.0848239688
355	0.08470333914
356	0.08465998803
357	0.08464292122
358	0.08458234493
359	0.08457671434
360	0.08449380501
361	0.08448630393
362	0.08446482938
363	0.08442021014
364	0.0843987031
365	0.08427624569
366	0.0842634959
367	0.0842491013
368	0.08424456631
369	0.08414290375
370	0.08405374206
371	0.08386691895
372	0.08371296854
373	0.0834987789
374	0.08343300099
375	0.08337970386
376	0.08332247833
377	0.08322063988
378	0.08314129353
379	0.08301829479
380	0.08299848678
381	0.08291621745
382	0.08280947121
383	0.08278382547
384	0.08270129268
385	0.08258871544
386	0.08256227177
387	0.08250155474
388	0.08240327789
389	0.08234234182
390	0.08223165851
391	0.08222104126
392	0.08210325992
393	0.08199215265
394	0.08198495075
395	0.08188231488
396	0.08187568984
397	0.08181252737
398	0.0817903205
399	0.08166076589
400	0.08164976462
401	0.08141610396
402	0.08140466712
403	0.08121169859
404	0.08118681095
405	0.08116891877
406	0.08113138889
407	0.08105030474
408	0.08102909533
409	0.08081162774
410	0.08071153048
411	0.08064160611
412	0.08062238868
413	0.08061824093
414	0.08059968196
415	0.08058071901
416	0.0805676519
417	0.08048245396
418	0.08040158869
419	0.08037407688
420	0.08027778211
421	0.08015133544
422	0.08010950285
423	0.07998837636
424	0.07997178768
425	0.07988347638
426	0.07980933027
427	0.0797989098
428	0.0797924071
429	0.07978434629
430	0.07968705225
431	0.07959230381
432	0.07949075529
433	0.07940518669
434	0.07927172392
435	0.07921366064
436	0.07899920143
437	0.07893117538
438	0.07888232315
439	0.07881930032
440	0.07867602221
441	0.07861373173
442	0.07860166509
443	0.07859056357
444	0.07856194896
445	0.07855639412
446	0.07845971509
447	0.07840694333
448	0.07833011816
449	0.07826405222
450	0.07810580172
451	0.07807399686
452	0.07801508991
453	0.07796876486
454	0.07782582046
455	0.077770394
456	0.07771721311
457	0.07770752013
458	0.07769112395
459	0.07754234228
460	0.07740006326
461	0.07729514656
462	0.07709026668
463	0.07700166507
464	0.07697732744
465	0.07692284294
466	0.07685871695
467	0.07685040627
468	0.07677791511
469	0.07667797511
470	0.07659216528
471	0.07654283537
472	0.07647901548
473	0.07636749336
474	0.07635927106
475	0.07628332451
476	0.07621413605
477	0.07612991015
478	0.07599753321
479	0.0759223066
480	0.07590103362
481	0.07574768451
482	0.07567982744
483	0.07552800394
484	0.07545928763
485	0.07545014173
486	0.07543285572
487	0.07542322372
488	0.07535371505
489	0.07530684586
490	0.07523883212
491	0.07511250344
492	0.07505818052
493	0.07501641764
494	0.07500569808
495	0.07482927687
496	0.07479505693
497	0.07478697712
498	0.07474266053
499	0.07473380392
500	0.07465037836
501	0.07464464727
502	0.07453036523
503	0.07451489357
504	0.07443855528
505	0.07440826219
506	0.07432479808
507	0.07419645272
508	0.07409541711
509	0.07409217107
510	0.07404390273
511	0.07403657385
512	0.07396684069
513	0.07385887968
514	0.07385459884
515	0.0738449422
516	0.07379490287
517	0.07379149019
518	0.07372146784
519	0.07369204136
520	0.07357364113
521	0.07352650654
522	0.07351782889
523	0.07343010098
524	0.07341077034
525	0.07333531724
526	0.07325726896
527	0.07318477236
528	0.07312551987
529	0.07310440544
530	0.07309576857
531	0.07308826317
532	0.07301645985
533	0.07292836428
534	0.07282187171
535	0.07265545481
536	0.07250873327
537	0.07241337444
538	0.07222417029
539	0.07221469246
540	0.07211419847
541	0.07209190937
542	0.07203070808
543	0.07202367042
544	0.07200984757
545	0.0719348306
546	0.07188449497
547	0.07172438413
548	0.07165045154
549	0.0716424869
550	0.07150891151
551	0.07144460201
552	0.07140195259
553	0.0713028864
554	0.07121362943
555	0.07107228285
556	0.07106764703
557	0.07099611625
558	0.07099398589
559	0.07098662859
560	0.07090485469
561	0.07081619
562	0.07070420256
563	0.07055481519
564	0.07050395352
565	0.07047868794
566	0.07040338963
567	0.07035042659
568	0.07029553244
569	0.07028868262
570	0.07025049391
571	0.07019846269
572	0.07012796954
573	0.07005703238
574	0.06996546065
575	0.06988458365
576	0.069810287
577	0.06961977199
578	0.06956522889
579	0.06953092192
580	0.0694995922
581	0.06943057661
582	0.06936339094
583	0.06929084642
584	0.06926084427
585	0.06924647303
586	0.06916204254
587	0.06910955912
588	0.06906207085
589	0.06900871252
590	0.06900404757
591	0.06886285394
592	0.06885538042
593	0.06876159402
594	0.06875689403
595	0.06860496043
596	0.068573012
597	0.06852769484
598	0.0685237436
599	0.06847706753
600	0.06837682395
601	0.06833184122
602	0.06825047856
603	0.06824410274
604	0.06823219691
605	0.06822055731
606	0.068186252
607	0.06815585016
608	0.06811394259
609	0.06809198397
610	0.06802927646
611	0.06793923374
612	0.06791372954
613	0.06791038272
614	0.06780440789
615	0.06768577198
616	0.06758633989
617	0.06750978495
618	0.06746946306
619	0.06736024978
620	0.06735679606
621	0.06731547141
622	0.06723826248
623	0.0671991469
624	0.06719285133
625	0.06715810919
626	0.06710545058
627	0.06703999746
628	0.06703677345
629	0.06700669245
630	0.06689723709
631	0.06684826621
632	0.06679633306
633	0.06679299429
634	0.06678651222
635	0.06675597944
636	0.06664805647
637	0.0666301053
638	0.06657629227
639	0.0665347941
640	0.06649293057
641	0.06636645042
642	0.06629817882
643	0.06623244471
644	0.06616261522
645	0.06609577207
646	0.0659891502
647	0.06593368748
648	0.06592246677
649	0.06576864767
650	0.06573293392
651	0.06564236059
652	0.06563596443
653	0.06561904671
654	0.06559719186
655	0.06557645124
656	0.06554126963
657	0.06545322252
658	0.06542432989
659	0.06537267724
660	0.06525061796
661	0.06523848386
662	0.06511000559
663	0.06506604683
664	0.06504542426
665	0.06502462966
666	0.06501262681
667	0.06492323827
668	0.06491858191
669	0.06486172939
670	0.06483245744
671	0.06478712093
672	0.06471815998
673	0.06459942094
674	0.06455394843
675	0.0644762211
676	0.06445141106
677	0.06439437678
678	0.06438609041
679	0.06432583791
680	0.06432370994
681	0.06432181428
682	0.06426062831
683	0.06423679084
684	0.06416980544
685	0.06414291135
686	0.06409249486
687	0.06407249735
688	0.06394251747
689	0.06389846037
690	0.06384760823
691	0.06383529981
692	0.06374231018
693	0.06370011067
694	0.06360806391
695	0.06354466915
696	0.06351601138
697	0.06343005169
698	0.06334261177
699	0.0633135727
700	0.06330139942
701	0.06320259443
702	0.06317366973
703	0.06315378227
704	0.0631261942
705	0.0630865018
706	0.06300162602
707	0.0629428402
708	0.06287822984
709	0.06281513751
710	0.06268558989
711	0.06262653269
712	0.06262066113
713	0.06259979905
714	0.06252779472
715	0.06248800576
716	0.06240765136
717	0.06239878663
718	0.06235257736
719	0.06231953467
720	0.06225520143
721	0.06224883023
722	0.06223343082
723	0.06219466829
724	0.06210020177
725	0.06205956458
726	0.06205688048
727	0.06201443561
728	0.06199189328
729	0.06195471589
730	0.06193257502
731	0.06189024346
732	0.06186517953
733	0.06182061512
734	0.06175740563
735	0.06170408958
736	0.06167993693
737	0.06161960254
738	0.06159354094
739	0.06151725448
740	0.06144451649
741	0.06143105741
742	0.0613845961
743	0.06133571937
744	0.06124928161
745	0.0612173668
746	0.06115550153
747	0.06111401175
748	0.06103520058
749	0.06098363283
750	0.06093668328
751	0.06093230765
752	0.06089630744
753	0.06087848986
754	0.06075051268
755	0.06070091466
756	0.06066854522
757	0.06059575017
758	0.06055805883
759	0.06048595169
760	0.0604754603
761	0.06039172489
762	0.06033503805
763	0.06025890801
764	0.06010983339
765	0.06007540997
766	0.06007108566
767	0.06006733888
768	0.0600421462
769	0.0599552012
770	0.05994563589
771	0.05990533768
772	0.0598962474
773	0.05984201897
774	0.05982921922
775	0.05978097848
776	0.05973081472
777	0.05966303021
778	0.05965547852
779	0.05965235871
780	0.05956266764
781	0.05953461793
782	0.05948845161
783	0.05948637435
784	0.05944111842
785	0.05936629712
786	0.05936128186
787	0.05935304978
788	0.05932035273
789	0.05930905786
790	0.05930479029
791	0.05924332167
792	0.05919985739
793	0.05914359055
794	0.05910870471
795	0.05900931348
796	0.05895365191
797	0.05889218609
798	0.0588238771
799	0.05875313333
800	0.05873323392
801	0.05868456075
802	0.05865429168
803	0.05860233048
804	0.05856166677
805	0.0584681971
806	0.05845665364
807	0.05838109756
808	0.05834122531
809	0.05830562999
810	0.05826440517
811	0.05822524196
812	0.05822373635
813	0.05817376886
814	0.05809296713
815	0.05803642338
816	0.05801082668
817	0.05800101987
818	0.05794811878
819	0.05794623479
820	0.05793697324
821	0.05793570233
822	0.05791755948
823	0.05781089937
824	0.05780290711
825	0.05774988785
826	0.0577208265
827	0.05761538075
828	0.05757669295
829	0.05748241004
830	0.05744665237
831	0.05743530432
832	0.05743246206
833	0.05735080945
834	0.05732614396
835	0.05730774393
836	0.05725195394
837	0.05721508406
838	0.05718152168
839	0.05707545837
840	0.0570310143
841	0.05699718695
842	0.05699089419
843	0.05697610562
844	0.05692087501
845	0.05688212768
846	0.05684882244
847	0.05681585116
848	0.05674077538
849	0.05667713445
850	0.05667508382
851	0.05667358711
852	0.05658340445
853	0.05646346695
854	0.05641109325
855	0.0563551648
856	0.0563287056
857	0.05626477489
858	0.05625786567
859	0.05624248312
860	0.05616948417
861	0.05611847482
862	0.05601313269
863	0.055933185
864	0.05593115061
865	0.05592645829
866	0.05590834146
867	0.05590221318
868	0.05588511708
869	0.05584779898
870	0.05582552687
871	0.05582369212
872	0.05580393165
873	0.05578080143
874	0.05569433151
875	0.05568984158
876	0.05566217668
877	0.05566012713
878	0.0556277473
879	0.05556275789
880	0.05552472774
881	0.05548505951
882	0.05541230848
883	0.0553813137
884	0.05533694276
885	0.05532658857
886	0.05524779971
887	0.0551968219
888	0.0551425187
889	0.05513938939
890	0.05512721809
891	0.05509882171
892	0.05506351384
893	0.05502137483
894	0.05498416138
895	0.05493640193
896	0.05485534694
897	0.05476991181
898	0.05471703752
899	0.05470525643
900	0.05466770521
901	0.05461482187
902	0.05459131129
903	0.05454519571
904	0.05444464354
905	0.05441043831
906	0.05435992623
907	0.05430845708
908	0.05428860016
909	0.05420894594
910	0.05420312421
911	0.05415866974
912	0.05414283847
913	0.05410576606
914	0.05407446793
915	0.05396585967
916	0.05395962574
917	0.05391140311
918	0.05389115866
919	0.05385944053
920	0.0538556215
921	0.05385266252
922	0.05379862182
923	0.05371850452
924	0.05368453355
925	0.05368120073
926	0.05362549339
927	0.05361126722
928	0.05356330898
929	0.05356212995
930	0.05355772363
931	0.05350604905
932	0.0534810103
933	0.05347818132
934	0.05346956437
935	0.05340881457
936	0.05339028194
937	0.05331741367
938	0.05326343457
939	0.05324826624
940	0.05317481127
941	0.05312542747
942	0.05310268962
943	0.05309560396
944	0.05302759718
945	0.05295244973
946	0.05290851033
947	0.05283486188
948	0.05280332344
949	0.05272173816
950	0.0526796155
951	0.05262158969
952	0.05256779375
953	0.05256482568
954	0.05254749048
955	0.05245665549
956	0.05239095269
957	0.05233550616
958	0.05232799087
959	0.05226595159
960	0.05222132561
961	0.05213128498
962	0.05209741618
963	0.05207384992
964	0.05199662355
965	0.05196138027
966	0.05192293825
967	0.05190382977
968	0.05180920792
969	0.05176285861
970	0.05171691858
971	0.05170067648
972	0.05166228064
973	0.05164494236
974	0.05160666087
975	0.05154385881
976	0.05148710922
977	0.0514310545
978	0.051403465
979	0.05138844485
980	0.05136032144
981	0.0513499457
982	0.05130504634
983	0.05126250491
984	0.05122098601
985	0.05120904293
986	0.05119482769
987	0.05119017396
988	0.05118755465
989	0.05116816379
990	0.05116295296
991	0.05115966141
992	0.05111781194
993	0.05106834236
994	0.05101928984
995	0.05097867322
996	0.05091783272
997	0.05090988612
998	0.05085300401
999	0.0507496847
